City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,spirit river,55.7833,-118.8361,4.37,71,52,3.14,CA,2023-04-01 23:21:33
186,nouadhibou,20.931,-17.0347,26.99,36,0,9.77,MR,2023-04-01 23:21:33
187,tynda,55.1667,124.7167,-11.04,80,100,3.66,RU,2023-04-01 23:21:34
188,saint-pierre,-21.3393,55.4781,24.2,83,0,2.57,RE,2023-04-01 23:21:34
189,boyolangu,-8.1181,111.8935,23.4,87,100,0.37,ID,2023-04-01 23:21:35
190,mimongo,-1.6195,11.6068,20.18,99,100,1.1,GA,2023-04-01 23:21:36
191,lompoc,34.6391,-120.4579,20.94,68,0,11.62,US,2023-04-01 23:19:27
192,dikson,73.5069,80.5464,-16.42,100,100,1.41,RU,2023-04-01 23:21:37
193,north bend,43.4065,-124.2243,10.65,76,75,7.2,US,2023-04-01 23:21:37
194,saint-augustin,51.226,-58.6502,-1.49,87,75,3.0,CA,2023-04-01 23:20:57
195,mahebourg,-20.4081,57.7,25.16,88,40,1.54,MU,2023-04-01 23:19:19
196,chitral,35.8462,71.7858,6.99,61,61,2.92,PK,2023-04-01 23:21:40
197,rio gallegos,-51.6226,-69.2181,11.03,50,0,8.23,AR,2023-04-01 23:17:07
198,upernavik,72.7868,-56.1549,-29.74,99,44,4.02,GL,2023-04-01 23:20:57
199,becerril,9.7041,-73.2793,30.59,50,100,3.96,CO,2023-04-01 23:21:41
200,pandan,14.0453,124.1694,25.69,84,98,1.46,PH,2023-04-01 23:21:42
201,tilichiki,60.4667,166.1,-4.26,93,68,0.54,RU,2023-04-01 23:21:42
202,takoradi,4.8845,-1.7554,26.93,84,20,2.81,GH,2023-04-01 23:15:41
203,nador,35.174,-2.9287,21.04,52,0,7.2,MA,2023-04-01 23:21:44
204,taoudenni,22.6783,-3.9836,28.57,7,0,4.46,ML,2023-04-01 23:21:08
205,tinyahuarco,-10.75,-76.3,3.29,97,100,1.1,PE,2023-04-01 23:21:45
206,dillon,34.4166,-79.3712,24.19,60,56,8.27,US,2023-04-01 23:21:46
207,salalah,17.0151,54.0924,28.05,78,75,3.6,OM,2023-04-01 23:21:46
208,labuhan,-6.8844,112.2051,24.63,83,100,1.37,ID,2023-04-01 23:21:47
209,murray bridge,-35.1167,139.2667,13.96,60,0,2.0,AU,2023-04-01 23:21:47
210,neiafu,-18.65,-173.9833,29.38,70,20,2.57,TO,2023-04-01 23:21:48
211,san patricio,28.017,-97.5169,29.54,56,99,6.17,US,2023-04-01 23:21:49
212,esperance,-33.8667,121.9,17.95,85,100,5.38,AU,2023-04-01 23:21:49
213,san cristobal,7.7669,-72.225,19.1,97,100,1.18,VE,2023-04-01 23:21:50
214,saskylakh,71.9167,114.0833,-7.99,88,100,7.19,RU,2023-04-01 23:21:50
215,umarkot,25.3616,69.7362,23.15,61,0,5.79,PK,2023-04-01 23:21:51
216,vryburg,-26.9566,24.7284,21.07,53,84,5.57,ZA,2023-04-01 23:21:51
217,wanlaweyn,2.6185,44.8938,27.24,71,87,4.01,SO,2023-04-01 23:21:52
218,hit,33.6416,42.8251,13.82,37,2,2.91,IQ,2023-04-01 23:21:52
219,cobija,-11.0267,-68.7692,23.38,95,97,0.7,BO,2023-04-01 23:21:53
220,lakes entrance,-37.8811,147.981,15.65,60,9,1.87,AU,2023-04-01 23:21:54
221,te anau,-45.4167,167.7167,10.29,92,91,0.78,NZ,2023-04-01 23:21:54
222,hanmer springs,-42.5167,172.8167,18.88,45,73,3.67,NZ,2023-04-01 23:21:55
223,barga,44.0742,10.4808,12.0,94,83,2.48,IT,2023-04-01 23:21:55
224,saint-philippe,-21.3585,55.7679,23.77,83,45,5.09,RE,2023-04-01 23:21:56
225,kashi,39.4547,75.9797,13.56,15,96,5.0,CN,2023-04-01 23:21:56
226,lavrentiya,65.5833,-171.0,-4.21,86,100,3.44,RU,2023-04-01 23:21:57
227,ostrovnoy,68.0531,39.5131,-7.36,93,92,5.0,RU,2023-04-01 23:21:57
228,ponta do sol,32.6667,-17.1,18.4,52,0,2.64,PT,2023-04-01 23:21:58
229,bakchar,57.0186,82.0711,-5.93,86,100,3.24,RU,2023-04-01 23:21:59
230,tiksi,71.6872,128.8694,-15.99,80,97,11.84,RU,2023-04-01 23:21:59
231,berezeni,46.3761,28.1478,9.88,91,100,1.62,RO,2023-04-01 23:22:00
232,ribeira grande,38.5167,-28.7,17.1,94,81,11.18,PT,2023-04-01 23:22:00
233,sinnamary,5.3833,-52.95,24.96,82,89,4.86,GF,2023-04-01 23:22:01
234,qaqortoq,60.7167,-46.0333,-6.49,84,41,3.79,GL,2023-04-01 23:22:01
235,devgarh,25.5333,73.9,21.23,38,10,3.36,IN,2023-04-01 23:22:02
236,querfurt,51.3833,11.6,8.04,96,100,6.25,DE,2023-04-01 23:22:03
237,port blair,11.6667,92.75,24.02,88,40,0.0,IN,2023-04-01 23:22:03
238,seoul,37.5683,126.9778,14.76,51,0,1.54,KR,2023-04-01 23:16:41
